condition,eventType,N,success_N,success_rate,Re_assist_micro,Re_disciplined_micro,Re_assist_mean,responsibility_consistency,N_wrong_assist,N_claim_assist,Ef_assist_micro,fact_consistency_rate,readability_mean,structured_compliance_mean,field_completeness_rate,confidence_present_rate,evidence_count_mean,evidence_fill_ratio_mean,evidence_calibration_mean,PQI_mean,derived_signal_recall_mean,rawText_chars_mean,rawText_non_overlap_mean,analysis_depth_chars_mean,suggestion_count_mean,text_chars_mean,latency_ms_mean,latency_ms_p50,latency_ms_p95,prompt_tokens_mean,completion_tokens_mean,total_tokens_mean,total_tokens_sum,completion_to_prompt_ratio,retry_rate,QI_mean,evidence_hits_total,tokens_per_evidence_hit,VQI_mean,Re_per_1k_tokens,QI_per_1k_tokens,latency_per_1k_tokens
P4_D0,DRIVER_SLOW_REACTION,6,6,1.0,0.8611,0.8611,0.8611,1.0,3,48,0.0625,0.9375,5.0,1.0,0.8333,1.0,6.0,1.0,1.0,92.94,0.6667,68.5,0.8333,482.8333,4.6667,1108.5,33659.2,35949.55,38881.78,1471.1667,1958.6667,3429.8333,20579.0,1.3314,0.0,93.125,31,663.8,27.15,0.2511,27.1515,9813.65
P4_D0,DRIVER_TAKEOVER_FAIL,6,6,1.0,0.8333,0.8333,0.8333,1.0,2,47,0.0426,0.9574,5.0,1.0,1.0,1.0,6.0,1.0,1.0,96.33,0.8333,228.5,0.9972,535.6667,5.0,1341.3333,40248.5,35656.5,55005.32,1447.1667,2260.1667,3707.3333,22244.0,1.5618,0.0,92.0233,30,741.5,24.82,0.2248,24.822,10856.46
P4_D0,ENVIRONMENT_DISTURB,6,6,1.0,0.8611,0.8611,0.8611,0.6667,4,48,0.0833,0.9167,5.0,1.0,1.0,1.0,6.0,1.0,1.0,96.94,0.8055,100.1667,1.0,458.3333,4.8333,1128.5,33586.25,34320.85,41241.28,1471.3333,1783.5,3254.8333,19529.0,1.2122,0.0,86.25,31,630.0,26.5,0.2646,26.4991,10318.88
P4_D0,MULTI_FACTOR,7,7,1.0,0.9048,0.9048,0.9047,1.0,7,57,0.1228,0.8772,5.0,1.0,1.0,1.0,6.0,1.0,1.0,97.91,0.8571,90.5714,0.9731,586.4286,4.8571,1258.4286,43195.1,39380.8,66326.63,1482.1429,2305.0,3787.1429,26510.0,1.5552,0.0,94.4986,38,697.6,24.95,0.2389,24.9525,11405.72
P4_D0,TTC_LOW_RISK,6,6,1.0,0.9167,0.9167,0.9166,1.0,3,50,0.06,0.94,5.0,1.0,1.0,1.0,6.0,1.0,1.0,98.17,0.6667,107.0,0.9389,533.8333,5.0,1231.8333,34773.7167,35150.1,44405.68,1490.3333,2188.0,3678.3333,22070.0,1.4681,0.0,95.69,33,668.8,26.01,0.2492,26.0145,9453.66
P5_D0,AEB_DELAY_OR_MISS,6,6,1.0,0.9444,0.9181,0.9444,0.8333,3,45,0.0667,0.9333,5.0,1.0,1.0,1.0,5.8333,0.9722,0.9722,98.44,0.7778,115.0,0.9872,527.5,5.0,1244.3333,36093.0,32297.4,53522.12,1609.0,2242.6667,3851.6667,23110.0,1.3938,0.0,93.4817,34,679.7,24.27,0.2452,24.2705,9370.75
P5_D0,AUTOPILOT_FAULT,6,6,1.0,0.8056,0.8056,0.8056,0.8333,2,42,0.0476,0.9524,5.0,1.0,1.0,1.0,6.0,1.0,1.0,95.72,0.7222,102.6667,0.9533,585.3333,5.0,1324.0,36982.8667,38212.65,41065.75,1604.0,2271.8333,3875.8333,23255.0,1.4164,0.0,87.4933,29,801.9,22.57,0.2079,22.5741,9541.91
P5_D0,COLLISION,7,7,1.0,0.9048,0.9048,0.9047,1.0,3,58,0.0517,0.9483,5.0,1.0,1.0,1.0,6.0,1.0,1.0,97.91,0.6905,114.7143,0.9955,487.0,5.0,1191.7143,40250.6857,38840.0,51048.49,1554.5714,2273.5714,3828.1429,26797.0,1.4625,0.0,95.2186,38,705.2,24.87,0.2364,24.8733,10514.42
P5_D0,DRIVER_SLOW_REACTION,6,6,1.0,0.9167,0.8912,0.9166,1.0,2,46,0.0435,0.9565,5.0,1.0,1.0,1.0,5.8333,0.9722,0.9722,97.83,0.6667,120.0,0.9645,434.8333,5.0,1127.0,25609.95,27109.6,33258.3,1550.1667,1513.3333,3063.5,18381.0,0.9762,0.0,95.8033,33,557.0,31.27,0.2992,31.2725,8359.7
P5_D0,DRIVER_TAKEOVER_FAIL,6,6,1.0,0.8889,0.8889,0.8889,0.6667,2,44,0.0455,0.9545,5.0,1.0,1.0,1.0,6.0,1.0,1.0,97.56,0.8333,102.1667,1.0,459.1667,5.0,1101.3333,45255.9,34104.3,87255.15,1526.1667,2157.3333,3683.5,22101.0,1.4136,0.0,87.7767,32,690.7,23.83,0.2413,23.8297,12286.11
